,Dev,Train,Test
ACOMP,0.014127058423045827,0.015222733216105325,0.014586709886547812
ADJP_ADVMOD,0.004127483936853751,0.004559493214301817,0.004179817452870426
ADJUNCT,0.07186928215820604,0.07038752874340592,0.0716966646762774
ADVCL,0.0019148121356538019,0.002192389196988142,0.0017486991384457902
AMOD,0.027105229564699376,0.02784728797511159,0.02495095112172652
ASUBJ,0.0003829624271307604,0.0004283331078948555,0.00021325599249338907
ATTR,0.006808220926769074,0.006103746787501691,0.005331399812334727
CC,0.03148802178630697,0.031623382478921505,0.03194574767550968
CCOMP,0.022041615250414877,0.021839352540691644,0.02439648554124371
CLF,0.014552572230968895,0.01614139501330087,0.01659131621598567
CONJ,0.056210374026637165,0.06053586726182425,0.06018084108163439
CSUBJ,0.0006382707118846007,0.000862302177735696,0.0008530239699735563
DEP,0.003914727032892217,0.003804274313539835,0.0032841422843981915
DET,0.02991362069699162,0.033342350872446906,0.03655207711336689
INTJ,0.007020977830730607,0.00858920600568105,0.008359634905740852
IOBJ,0.0008084762350538275,0.000862302177735696,0.0009383263669709118
MARK,0.00348921322496915,0.003984625095811353,0.005032841422843982
NN,0.08280498702182885,0.08013210694801388,0.08398020984389662
NP_ADVMOD,0.01876515892940726,0.020047116641868434,0.017444340185959226
NSUBJ,0.06616739713203694,0.07059042337346139,0.07173931587477608
NUM,0.027105229564699376,0.026139591505478156,0.021538855241832296
NUMBER,0.0015744010893153483,0.0007214031290860724,0.0014074895504563678
OBJ,0.07812433513467512,0.07937125208530592,0.08316983707242173
PARATAXIS,0.013616441853538148,0.01041525767618017,0.01074810202166681
PCOMP,0.00944640653589209,0.009265521439199242,0.010278938838181352
POBJ,0.061912259052806264,0.05781369764191352,0.058474793141687284
PREP,0.06774179822135229,0.06330876053924885,0.06363558816002729
PUNCT,0.13535594230032766,0.13622120023445602,0.1297449458329779
QUANTMOD,0.0008084762350538275,0.0007326750529780423,0.0009383263669709118
RCMOD,0.025530828475384026,0.02162518598674422,0.02554806790070801
ROOT,0.042593932173099015,0.047505523242707064,0.042651198498677816
SINO,0.0054891281222075655,0.0026939898101808017,0.0021325599249338908
VMOD,0.057657120973575594,0.05682740430136616,0.05830418834769257
VOCATIVE,0.0005106165695076806,0.0004001532981649308,0.0002559071909920669
VSUBJ,0.0013616441853538147,0.0009242977591415303,0.0008103727714748784
XCOMP,0.007020977830730607,0.006937869155507462,0.0063550285763029945
